Data extracted on 20/09/2025 08:35:29 from [ESTAT];;;;;;;;;;;;;;;;
Dataset: ;Low achieving 15-year-olds in reading, mathematics or science [sdg_04_40];;;;;;;;;;;;;;;
Last updated: ;14/12/2023 11:00;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
Time frequency;;Annual;;;;;;;;;;;;;;
Education or training field;;Mathematics;;;;;;;;;;;;;;
Sex;;Total;;;;;;;;;;;;;;
Unit of measure;;Percentage;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
TIME;2000;;2003;;2006;;2009;;2012;;2015;;2018;;2022;
GEO (Labels);;;;;;;;;;;;;;;;
European Union - 27 countries (from 2020);:;;:;;24,7;;22,7;;22,1;;22,2;;22,9;;29,5;
Belgium;:;;16,5;;17,5;;19,1;;19,0;;20,1;;19,7;;25,0;
Bulgaria;:;;:;;53,4;;47,1;;43,8;;42,1;;44,4;;53,6;
Czechia;:;;16,6;;19,3;;22,4;;21,0;;21,7;;20,4;;25,5;
Denmark;:;;15,4;;13,7;;17,1;;16,8;;13,6;;14,6;;20,4;
Germany;:;;21,6;;20,0;;18,7;;17,7;;17,2;;21,1;;29,5;
Estonia;:;;:;;12,1;;12,7;;10,5;;11,2;;10,2;;15,0;
Ireland;:;;16,8;;16,5;;20,9;;16,9;;15,0;;15,7;;19,0;
Greece;:;;38,9;;32,5;;30,4;;35,7;;35,8;;35,8;;47,2;
Spain;:;;23,0;;24,8;;23,8;;23,6;;22,2;;24,7;;27,3;
France;:;;16,6;;22,4;;22,5;;22,4;;23,5;;21,3;;28,8;
Croatia;:;;:;;28,7;;33,2;;29,9;;32,0;;31,2;;32,9;
Italy;:;;31,9;;33,0;;25,0;;24,7;;23,3;;23,8;;29,6;
Cyprus;:;;:;;:;;:;;42,0;;42,6;;36,9;;53,2;
Latvia;:;;23,7;;20,8;;22,6;;19,9;;21,4;;17,3;;22,2;
Lithuania;:;;:;;23,1;;26,4;;26,0;;25,4;;25,6;;27,8;
Luxembourg;:;;21,7;;22,9;;23,9;;24,3;;25,8;;27,2;;:;
Hungary;:;;23,0;;21,2;;22,3;;28,1;;28,0;;25,6;;29,5;
Malta;:;;:;;:;;33,7;;:;;29,1;;30,2;;32,6;
Netherlands;:;;10,9;;11,6;;13,4;;14,8;;16,7;;15,8;;27,4;
Austria;:;;18,8;;20,1;;:;;18,7;;21,8;;21,1;;24,9;
Poland;:;;22,0;;20,0;;20,5;;14,4;;17,2;;14,7;;23,0;
Portugal;:;;30,1;;30,9;;23,8;;24,9;;23,8;;23,3;;29,7;
Romania;:;;:;;52,9;;47,0;;40,8;;39,9;;46,6;;48,6;
Slovenia;:;;:;;17,8;;20,4;;20,1;;16,1;;16,4;;24,6;
Slovakia;:;;19,9;;21,0;;21,0;;27,5;;27,7;;25,1;;33,2;
Finland;:;;6,8;;6,0;;7,9;;12,3;;13,6;;15,0;;24,9;
Sweden;:;;17,3;;18,4;;21,1;;27,1;;20,8;;18,8;;27,2;
Iceland;:;;15,0;;16,9;;17,0;;21,5;;23,6;;20,7;;34,1;
Liechtenstein;:;;:;;:;;:;;:;;:;;:;;:;
Norway;:;;20,8;;22,4;;18,2;;22,3;;17,1;;18,9;;31,5;
Switzerland;:;;14,5;;13,6;;13,5;;12,4;;15,8;;16,8;;:;
United Kingdom;:;;:;;19,9;;20,2;;21,8;;21,9;;19,2;;:;
Montenegro;:;;:;;60,2;;58,5;;56,6;;51,9;;46,2;;59,5;
North Macedonia;:;;:;;:;;:;;:;;70,2;;61,0;;66,2;
Albania;:;;:;;:;;67,7;;60,7;;53,3;;42,4;;73,9;
Serbia;:;;:;;42,6;;40,6;;38,9;;:;;39,7;;43,1;
Türkiye;:;;52,2;;52,2;;42,2;;42,0;;51,4;;36,7;;38,7;
Russia;:;;30,2;;26,8;;28,6;;24,0;;18,9;;21,6;;:;
United States;:;;25,7;;28,2;;23,4;;25,8;;29,4;;27,1;;33,9;
Japan;:;;13,3;;13,1;;12,5;;11,1;;10,7;;11,5;;12,0;
South Korea;:;;9,5;;8,9;;8,1;;9,1;;15,5;;15,0;;:;
Euro area – 20 countries (from 2023);:;;:;;:;;:;;:;;:;;:;;:;
;;;;;;;;;;;;;;;;
Special value;;;;;;;;;;;;;;;;
:;not available;;;;;;;;;;;;;;;
