Data extracted on 11/09/2025 12:20:56 from [ESTAT];;;;;;;;;;;;;;;;
Dataset: ;Low achieving 15-year-olds in reading, mathematics or science [sdg_04_40];;;;;;;;;;;;;;;
Last updated: ;14/12/2023 11:00;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
Time frequency;;Annual;;;;;;;;;;;;;;
Education or training field;;Reading;;;;;;;;;;;;;;
Sex;;Total;;;;;;;;;;;;;;
Unit of measure;;Percentage;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
TIME;2000;;2003;;2006;;2009;;2012;;2015;;2018;;2022;
GEO (Labels);;;;;;;;;;;;;;;;
European Union - 27 countries (from 2020);:;;:;;23,7;;19,7;b;18,0;;20,0;;22,5;b;26,2;
Belgium;19,0;;17,9;;19,4;;17,7;b;16,1;;19,5;;21,3;b;25,3;
Bulgaria;40,3;;:;;51,1;;41,0;b;39,4;;41,5;;47,1;b;52,9;
Czechia;17,5;;19,3;;24,8;;23,1;b;16,9;;22,0;;20,7;b;21,3;
Denmark;17,9;;16,5;;16,0;;15,2;b;14,6;;15,0;;16,0;b;19,0;
Germany;22,6;;22,3;;20,0;;18,5;b;14,5;;16,2;;20,7;b;25,5;
Estonia;:;;:;;13,6;;13,3;b;9,1;;10,6;;11,1;b;13,8;
Ireland;11,0;;11,0;;12,1;;17,2;b;9,6;;10,2;;11,8;b;11,4;
Greece;24,4;;25,3;;27,7;;21,3;b;22,6;;27,3;;30,5;b;37,6;
Spain;16,3;;21,1;;25,7;;19,6;b;18,3;;16,2;;:;b;24,4;
France;15,2;;17,5;;21,7;;19,8;b;18,9;;21,5;;20,9;b;26,9;
Croatia;:;;:;;21,5;;22,4;b;18,7;;19,9;;21,6;b;22,7;
Italy;18,9;;23,9;;26,4;;21,0;b;19,5;;21,0;;23,3;b;21,4;
Cyprus;:;;:;;:;;:;b;32,8;;35,6;;43,7;b;60,6;
Latvia;30,1;;18,0;;21,2;;17,6;b;17,0;;17,7;;22,4;b;22,8;
Lithuania;:;;:;;25,7;;24,4;b;21,2;;25,1;;24,4;b;24,9;
Luxembourg;35,1;;22,7;;22,9;;26,0;b;22,2;;25,6;;29,3;b;:;
Hungary;22,7;;20,5;;20,6;;17,6;b;19,7;;27,5;;25,3;b;25,9;
Malta;:;;:;;:;;36,3;b;:;;35,6;;35,9;b;36,3;
Netherlands;:;;11,5;;15,1;;14,3;b;14,0;;18,1;;24,1;b;34,6;
Austria;19,3;;20,7;;21,5;;:;b;19,5;;22,5;;23,6;b;25,3;
Poland;23,2;;16,8;;16,2;;15,0;b;10,6;;14,4;;14,7;b;22,2;
Portugal;26,3;;21,9;;24,9;;17,6;b;18,8;;17,2;;20,2;b;23,1;
Romania;41,3;;:;;53,5;;40,4;b;37,3;;38,7;;40,8;b;41,7;
Slovenia;:;;:;;16,5;;21,2;b;21,1;;15,1;;17,9;b;26,1;
Slovakia;:;;24,9;;27,8;;22,2;b;28,2;;32,1;;31,4;b;35,4;
Finland;7,0;;5,7;;4,8;;8,1;b;11,3;;11,1;;13,5;b;21,4;
Sweden;12,6;;13,3;;15,3;;17,4;b;22,7;;18,4;;18,4;b;24,3;
Iceland;14,5;;18,5;;20,5;;16,8;b;21,0;;22,1;;26,4;b;39,7;
Liechtenstein;:;;:;;:;;:;b;:;;:;;:;b;:;
Norway;17,5;;18,1;;22,4;;15,0;b;16,2;;14,9;;19,3;b;27,5;
Switzerland;20,4;;16,7;;16,4;;16,8;b;13,7;;20,0;;23,6;b;:;
United Kingdom;:;;:;;19,0;;18,4;b;16,6;;17,9;;17,3;b;:;
Montenegro;:;;:;;56,3;;49,5;b;43,3;;41,9;;44,4;b;52,9;
North Macedonia;62,7;;:;;:;;:;b;:;;70,7;;55,1;b;73,6;
Albania;70,4;;:;;:;;56,7;b;52,3;;50,3;;52,2;b;73,7;
Serbia;:;;:;;51,7;;32,8;b;33,1;;:;;37,7;b;36,4;
Türkiye;:;;36,8;;32,2;;24,5;b;21,6;;40,0;;26,1;b;29,3;
Russia;27,4;;34,0;;35,3;;27,4;b;22,3;;16,2;;22,1;b;:;
United States;17,9;;19,4;;:;;17,6;b;16,6;;19,0;;19,3;b;20,1;
Japan;10,1;;19,0;;18,4;;13,6;b;9,8;;12,9;;16,8;b;13,8;
South Korea;5,8;;6,8;;5,8;;5,8;b;7,6;;13,7;;15,1;b;:;
Euro area – 20 countries (from 2023);:;;:;;:;;:;;:;;:;;:;;:;
;;;;;;;;;;;;;;;;
Special value;;;;;;;;;;;;;;;;
:;not available;;;;;;;;;;;;;;;
Observation flags:;;;;;;;;;;;;;;;;
b;break in time series;;;;;;;;;;;;;;;
