Data extracted on 11/09/2025 12:19:48 from [ESTAT];;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Dataset: ;Tertiary educational attainment by sex [sdg_04_20];;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Last updated: ;12/06/2025 23:00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Time frequency;;Annual;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Sex;;Total;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Age class;;From 25 to 34 years;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Unit of measure;;Percentage;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
International Standard Classification of Education (ISCED 2011);;Tertiary education (levels 5-8);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
TIME;2000;;2001;;2002;;2003;;2004;;2005;;2006;;2007;;2008;;2009;;2010;;2011;;2012;;2013;;2014;;2015;;2016;;2017;;2018;;2019;;2020;;2021;;2022;;2023;;2024;
GEO (Labels);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
European Union - 27 countries (from 2020);:;;:;;23,1;;24,6;;26,3;;27,2;;28,1;;28,9;;29,9;;31,2;;32,2;;33,1;;34,1;;35,2;;35,9;b;36,5;;36,8;;37,6;;38,7;;39,6;;40,7;;41,5;b;42,0;;43,1;;44,1;
Euro area – 20 countries (from 2023);:;;:;;25,2;;26,6;;28,1;;28,9;;29,5;;30,1;;30,8;;31,8;;32,6;;33,2;;34,1;;35,1;;35,8;b;36,3;;36,7;;37,6;;39,0;;40,1;;41,5;;42,7;b;43,2;;44,0;;45,2;
Belgium;36,0;;37,5;;37,6;;38,9;;40,7;;40,6;;41,9;;41,3;;42,3;b;42,5;;43,8;;42,5;;43,0;;42,7;;44,2;b;43,1;;44,3;;45,7;b;47,4;;47,3;;48,5;;50,9;b;51,4;;50,0;;50,7;
Bulgaria;18,9;;23,0;b;23,1;;23,6;;24,3;;23,7;;24,5;b;24,9;;26,0;;26,9;;27,5;b;27,2;b;27,2;;29,6;;31,3;b;31,8;;32,8;;33,4;;34,0;;32,6;b;33,1;;33,8;b;34,0;;35,8;;40,5;b
Czechia;11,7;;11,8;;12,1;;12,1;b;12,9;;14,2;;15,2;;15,5;;17,7;;20,2;;22,6;;25,1;b;27,8;;29,2;;29,9;b;31,0;;32,6;;33,8;;33,3;;32,6;;33,0;;34,9;b;34,6;;33,7;;33,5;
Denmark;28,9;;31,1;;32,3;;35,1;b;37,6;;39,8;;40,8;;36,2;b;36,2;b;37,4;;37,6;;38,6;;40,2;;40,9;;41,6;b;43,0;;44,6;b;45,5;b;45,8;;47,1;;47,1;;49,1;b;49,0;;49,0;;51,2;
Germany;22,4;;22,2;;21,0;;21,8;;22,9;;22,5;b;22,0;;22,6;;23,9;;25,7;;26,0;b;27,6;;28,9;;29,9;;28,4;b;29,6;;30,5;;31,3;;32,3;;33,3;;35,3;b;36,9;b;36,8;;37,9;;39,9;
Estonia;28,4;b;27,0;;26,3;;27,4;;27,7;;33,1;;34,5;;34,4;;35,8;;36,8;;38,2;;39,0;;40,1;;40,6;;40,6;b;38,5;;39,1;;40,9;;41,1;;40,6;;40,1;;43,2;b;43,9;;43,5;;42,7;
Ireland;30,6;;34,1;;35,5;;37,7;;40,1;;40,9;;43,5;;46,2;b;47,2;;49,1;;49,6;;48,6;;50,3;;52,1;;53,4;b;54,0;;54,3;;54,7;b;56,2;;55,4;;58,4;;62,2;b;63,0;;62,7;;65,2;
Greece;23,3;;22,9;b;23,1;;23,1;;24,8;b;24,9;;26,3;;27,3;;27,7;;28,9;b;30,6;;32,3;;34,5;;37,2;;38,7;b;40,1;;41,0;;42,5;;42,8;;42,4;;43,7;;44,2;b;45,2;;44,5;;44,5;
Spain;33,9;;35,4;;37,5;;37,9;;39,0;;40,7;b;40,3;;40,0;;40,0;;39,5;;40,3;;40,3;;40,4;;41,1;;41,5;b;41,0;;41,0;;42,6;;44,3;;46,5;;47,4;;48,5;b;50,2;;52,0;;52,6;
France;31,4;;33,3;;35,2;;38,0;b;38,5;;39,9;;41,5;;41,4;;40,6;;42,9;;42,7;;42,8;;42,6;;43,9;b;44,3;b;44,8;;44,2;;44,5;;47,0;;48,2;;49,4;;50,3;b;50,4;;51,9;;53,4;
Croatia;:;;:;;16,9;;17,7;;17,4;;18,0;;17,7;;17,8;;19,9;;21,3;;25,8;b;24,4;;24,7;b;28,9;;32,3;b;30,8;;32,8;;32,7;;35,3;;35,4;;37,0;;36,2;b;36,0;;38,8;;39,4;
Italy;10,6;;11,3;;12,2;;13,0;;14,7;b;16,2;;17,3;;18,8;;19,9;;20,2;;20,8;;21,1;;22,5;;22,9;;24,2;b;25,2;;25,6;;26,9;;27,9;b;27,9;;28,6;;28,3;b;29,2;;30,6;;31,6;
Cyprus;32,7;;36,2;;41,0;;43,9;;42,7;;41,3;;44,6;;47,0;;48,0;;47,8;b;48,1;;50,5;;53,6;;51,4;;54,0;b;54,7;;56,2;;57,0;;58,5;;59,1;;57,4;;58,8;b;59,2;;61,6;;60,1;
Latvia;17,3;;16,6;;17,3;b;18,5;;19,7;;21,7;;23,0;;25,7;;28,8;;31,6;;34,7;;35,1;;38,7;;40,7;;39,4;b;39,9;;42,1;;41,6;;41,6;;43,8;;44,2;;45,5;b;45,9;;45,1;;45,0;
Lithuania;39,9;;26,7;;28,0;b;29,3;;35,7;;36,9;;38,2;;38,1;;41,5;;43,5;;46,3;;48,2;;48,6;;50,5;;52,6;b;54,8;;54,9;;55,6;;55,6;;55,2;;56,2;;57,5;b;58,2;;57,4;;58,2;
Luxembourg;22,9;;23,4;;22,6;;18,8;b;32,4;;37,0;;33,5;;35,7;b;38,7;;44,5;b;44,2;;46,6;;49,9;;48,1;;52,9;b;50,3;b;51,5;;51,3;u;53,7;;56,1;;60,6;;62,6;b;61,0;;60,2;;63,8;
Hungary;14,6;;14,8;b;15,0;;16,8;;18,9;;19,6;;20,7;;22,0;;24,1;;25,1;;26,1;;28,2;;30,5;;31,2;;32,1;b;32,1;;30,4;;30,2;;30,9;b;30,9;;31,0;;33,4;b;32,5;;30,1;;32,3;
Malta;8,8;d;14,8;d;12,0;d;16,3;d;18,4;d;17,8;b;20,8;;22,2;;23,1;;22,8;;24,3;;26,2;b;28,3;;31,1;;31,3;b;31,9;;34,3;;34,9;;40,2;;41,0;;40,2;;42,9;b;42,5;;46,2;;46,9;
Netherlands;26,9;;27,1;;28,3;;32,1;;34,5;;33,3;b;34,6;;35,7;;38,3;;38,4;;40,3;;40,0;b;41,4;;43,0;b;44,3;b;45,1;;45,2;;46,6;;47,6;;49,1;b;52,3;;55,6;b;56,4;;54,5;;55,1;
Austria;:;u;:;u;:;u;:;u;20,1;b;19,7;;19,0;b;18,7;;19,2;;21,0;;20,7;;20,9;;22,8;;24,9;;38,4;b;38,6;;39,7;;40,3;;40,5;;41,6;;41,4;;42,4;b;43,1;;43,5;;44,1;
Poland;14,3;b;15,0;;16,8;;20,3;b;23,0;;25,4;;28,0;;30,0;;32,1;;35,5;;37,1;b;39,0;;40,8;;41,8;;42,6;b;43,2;;43,5;;43,6;;43,5;;44,6;;43,7;;41,8;b;41,7;;46,3;;45,7;
Portugal;12,8;;14,1;;15,3;;16,7;;18,4;b;19,0;;20,0;;21,4;;23,2;;23,5;;25,5;;27,6;b;28,9;;30,0;;31,6;b;33,2;;34,9;;34,2;;35,2;;38,0;;41,7;;45,9;b;42,9;;41,5;;43,2;
Romania;9,2;;9,5;;10,4;;10,7;b;12,6;;13,5;;14,8;;16,6;;18,8;;19,5;;20,7;b;22,5;;23,6;;24,4;;25,4;b;25,5;;24,8;;25,6;;24,9;;25,5;;24,9;;23,3;b;24,7;;22,5;;23,2;
Slovenia;19,3;;17,4;;19,7;;23,7;;24,9;;24,7;;27,0;;30,1;;30,0;;30,4;;31,3;;33,8;;35,3;;37,4;;38,0;b;40,8;;43,0;;44,5;;40,7;;44,1;;45,4;;47,9;b;47,3;;40,7;b;43,1;
Slovakia;11,1;;11,7;;11,9;;13,2;;14,3;;16,2;;16,6;;17,5;;18,4;;20,6;;24,0;;25,5;b;27,0;;29,7;;29,8;b;31,3;;33,4;;35,1;;37,2;;39,2;;39,0;;39,5;b;39,1;;39,8;;37,2;
Finland;37,8;b;38,2;;37,8;;37,9;;38,2;;37,5;;38,5;;39,3;;38,3;;39,4;;39,2;;39,4;;39,7;;40,0;;40,3;b;40,2;;40,7;;40,3;;40,3;;42,0;;43,8;;40,1;b;40,7;;39,2;;39,1;
Sweden;33,1;;28,2;b;30,7;;32,5;;34,5;;37,3;b;39,2;b;39,9;;40,9;;42,4;;42,3;;42,8;;43,5;;44,9;;46,0;b;46,5;;47,3;;47,4;;47,6;b;48,4;;49,2;;49,3;b;52,4;;54,1;;54,4;
Iceland;29,5;;27,2;;28,1;;32,7;b;33,3;;35,8;;31,4;u;32,5;;32,8;;35,8;;36,2;;39,4;;38,4;;40,0;;40,8;b;40,2;;43,4;;47,6;;47,1;;47,2;;41,7;b;41,5;b;40,2;;43,4;;46,8;
Norway;38,6;;42,7;;42,8;;39,7;;39,8;;39,5;;41,0;b;41,7;;43,7;;44,3;;45,0;;46,1;;45,0;;46,7;;50,2;b;49,0;;49,2;;48,3;;48,5;;48,4;;50,9;;55,0;b;55,6;;56,6;;56,8;
Switzerland;25,6;;25,6;;26,7;;29,2;;30,4;;31,0;;32,2;;35,0;;38,5;;40,0;;37,4;b;38,0;;39,3;;41,9;;44,2;b;46,5;;48,8;;50,1;;51,2;;52,7;;53,0;;52,3;b;51,2;;51,9;;51,0;
United Kingdom;31,5;;33,0;;34,7;;33,9;;35,5;b;35,8;;36,8;;37,8;b;38,6;b;40,1;;41,6;b;43,8;b;45,1;;45,2;;45,8;b;46,9;;47,1;;47,2;;48,1;;49,4;;:;;:;;:;;:;;:;
