Data extracted on 11/09/2025 12:33:20 from [ESTAT];;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Dataset: ;Employment rate, by citizenship [sdg_08_30a];;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Last updated: ;12/06/2025 23:00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Time frequency;;Annual;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Unit of measure;;Percentage;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Sex;;Total;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Age class;;From 20 to 64 years;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Country of citizenship;;Reporting country;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
TIME;2000;;2001;;2002;;2003;;2004;;2005;;2006;;2007;;2008;;2009;;2010;;2011;;2012;;2013;;2014;;2015;;2016;;2017;;2018;;2019;;2020;;2021;;2022;;2023;;2024;
GEO (Labels);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
European Union - 27 countries (from 2020);:;;:;;68,9;;69,1;;67,4;;67,2;b;68,2;;69,3;;69,8;;68,7;;68,3;;68,3;;68,2;;68,0;;68,7;;69,6;;70,8;;72,0;;73,0;;73,8;;73,1;;73,9;b;75,4;;76,1;;76,7;
Euro area – 20 countries (from 2023);:;;:;;68,9;;69,1;;68,9;;68,2;b;69,1;;70,2;;70,5;;69,3;;68,9;;69,0;;68,6;;68,3;;68,7;;69,6;;70,6;;71,7;;72,7;;73,4;;72,5;;73,4;b;75,0;;75,8;;76,4;
Belgium;67,7;;66,4;b;66,1;;66,1;;67,1;;67,7;b;67,8;;68,9;;69,1;;68,4;;68,8;;68,7;b;68,6;;68,7;;68,6;;68,5;;69,0;;69,8;b;71,0;;71,8;;71,5;;71,9;b;73,1;;73,5;;73,7;
Bulgaria;:;;55,8;b;56,5;;58,7;b;61,2;;61,9;b;65,1;;68,4;;70,7;b;68,9;;64,7;b;63,0;b;63,0;;63,6;;65,1;;67,2;;67,7;;71,4;;72,4;;75,1;b;73,6;;73,3;b;75,9;;76,3;;76,8;b
Czechia;70,9;;71,2;;71,7;;71,1;;70,1;;70,7;b;71,1;;71,9;;72,3;;70,8;;70,3;;70,8;b;71,4;;72,4;;73,5;;74,8;;76,6;;78,4;;79,8;;80,2;;79,6;;79,8;b;81,2;;81,6;;82,2;
Denmark;78,6;;78,9;;79,1;;78,3;;79,1;;78,7;b;79,9;;80,1;;79,5;b;76,7;;75,6;;75,8;;75,4;;75,4;;76,0;;76,9;;77,0;b;77,8;b;78,7;;79,4;;78,8;;79,7;b;80,7;;80,5;b;80,6;
Germany;69,7;;70,0;;69,8;;69,7;;69,3;;71,0;b;72,8;b;74,6;;75,6;b;75,8;;76,5;b;77,8;b;78,2;b;78,7;;79,2;;79,6;;80,7;;81,5;;82,1;;82,7;;81,6;b;81,8;b;83,0;;83,7;;83,9;
Estonia;68,1;b;68,0;;70,2;;70,6;;71,7;;73,2;b;76,8;;77,5;;77,4;;71,2;;68,7;;71,8;;73,7;;74,6;;75,7;;77,2;;77,8;;79,4;;80,2;;80,7;;79,1;;80,7;b;83,3;;83,2;;82,8;
Ireland;70,4;;71,0;;71,1;;71,0;;71,4;;:;;73,2;;74,7;b;73,3;;68,2;;65,8;;64,6;;64,5;;66,6;;68,4;;70,3;;71,5;;72,9;b;73,9;;75,0;;73,5;;75,0;b;77,9;;78,8;;79,5;
