Data extracted on 11/09/2025 12:31:15 from [ESTAT];;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Dataset: ;Investment share of GDP by institutional sectors [sdg_08_11];;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Last updated: ;05/09/2025 23:00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Time frequency;;Annual;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Unit of measure;;Percentage;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Indicator;;Total investment;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
TIME;2000;;2001;;2002;;2003;;2004;;2005;;2006;;2007;;2008;;2009;;2010;;2011;;2012;;2013;;2014;;2015;;2016;;2017;;2018;;2019;;2020;;2021;;2022;;2023;;2024;
GEO (Labels);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
European Union - 27 countries (from 2020);23,11;;22,59;;21,93;;21,77;;21,92;;22,27;;23,03;;23,61;;23,37;;21,35;;20,81;;20,88;;20,47;;19,87;;19,95;;20,37;;20,55;;20,84;;21,25;;22,33;;22,28;;22,17;;22,48;;22,51;;21,69;
Euro area – 20 countries (from 2023);23,12;;22,58;;21,88;;21,74;;21,87;;22,22;;22,88;;23,30;;22,99;;21,12;;20,69;;20,75;;20,26;;19,62;;19,52;;19,93;;20,21;;20,53;;20,94;;22,14;;22,06;;21,93;;22,26;;22,20;;21,40;
Belgium;22,51;;22,39;;20,70;;20,49;;21,46;;22,15;;22,33;;23,29;;24,12;;22,55;;21,94;;22,79;;22,82;;22,16;;22,84;;23,15;;23,52;;23,50;;23,77;;24,23;;24,03;;23,91;;23,85;;24,45;;:;
Bulgaria;16,73;;19,27;;18,98;;19,81;;20,95;;25,67;;27,44;;28,29;;32,98;;27,78;;22,18;;20,84;;21,12;;21,18;;21,06;;20,86;;18,41;;18,30;;18,79;;18,68;;18,98;;16,27;;17,00;;:;;:;
Czechia;31,11;;31,00;;29,63;;29,25;;28,58;;28,52;;28,15;;29,67;;28,91;;27,18;;26,52;;26,10;;25,38;;24,78;;24,74;;25,68;;24,31;;23,73;;24,85;;25,77;;25,54;;26,24;;27,69;;27,94;;26,49;
Denmark;21,46;;21,26;;20,59;;20,70;;20,66;;21,17;;23,27;;23,50;;22,94;;20,10;;17,99;;18,15;;18,80;;18,81;;19,33;;19,80;;20,98;;21,23;;21,76;;21,35;;22,18;;23,21;;23,09;;23,53;;23,33;
Germany;22,88;;21,54;;19,89;;19,26;;18,83;;18,76;;19,46;;19,72;;19,96;;18,83;;19,18;;20,00;;19,96;;19,57;;19,78;;19,76;;20,04;;20,15;;20,84;;21,17;;21,35;;21,19;;21,71;;21,50;;20,87;
Estonia;26,69;;27,45;;30,55;;32,75;;31,71;;32,86;;36,79;;36,39;;31,13;;22,68;;21,23;;26,36;;28,44;;27,53;;25,34;;24,05;;23,94;;25,40;;26,58;;26,62;;31,23;;28,71;;25,78;;28,00;;:;
Ireland;23,74;;23,94;;23,59;;24,91;;26,95;;29,83;;30,99;;28,71;;24,84;;21,16;;17,57;;16,54;;19,47;;18,25;;20,17;;24,26;;34,08;;32,46;;27,92;;53,22;;41,34;;22,04;;21,17;;23,18;;:;
Greece;25,94;;25,60;;23,88;;24,88;;25,05;;21,36;;24,06;;25,53;;23,28;;20,44;;16,82;;13,87;;12,28;;11,54;;11,23;;11,16;;11,37;;12,05;;11,33;;10,97;;12,30;;13,79;;14,93;;15,17;;:;
Spain;25,97;;25,90;;26,18;;27,12;;27,83;;29,03;;30,05;;29,88;;27,86;;23,16;;21,87;;20,15;;18,71;;17,60;;18,03;;18,30;;18,19;;18,91;;19,67;;20,31;;20,62;;20,20;;20,41;;19,71;;:;
France;20,88;;20,86;;20,34;;20,50;;20,84;;21,26;;21,90;;22,59;;22,93;;21,45;;21,48;;21,70;;21,66;;21,27;;20,96;;20,56;;20,92;;21,42;;21,88;;22,42;;22,44;;23,48;;23,65;;23,09;;:;
Croatia;19,91;;20,41;;22,13;;25,56;;25,43;;25,18;;26,30;;26,50;;27,85;;24,78;;20,82;;19,82;;19,21;;19,22;;18,79;;19,09;;19,56;;19,47;;19,98;;21,91;;22,35;;20,94;;21,60;;22,46;;:;
Italy;21,23;;21,19;;21,81;;21,28;;21,36;;21,67;;21,92;;21,99;;21,56;;20,32;;20,24;;19,91;;18,48;;17,31;;16,84;;17,08;;17,29;;17,58;;17,97;;18,13;;18,20;;20,77;;21,78;;22,52;;21,96;
Cyprus;20,08;;19,02;;20,95;;20,29;;20,65;;21,53;;25,08;;25,55;;27,18;;23,44;;22,39;;18,98;;15,46;;14,08;;13,30;;12,83;;18,03;;20,79;;18,58;;18,68;;20,82;;19,22;;19,89;;21,25;;:;
Latvia;25,20;;27,17;;24,30;;25,38;;29,44;;32,03;;35,32;;38,11;;33,42;;22,92;;19,52;;23,72;;27,01;;24,96;;23,64;;22,31;;20,17;;21,53;;22,90;;22,72;;23,03;;22,93;;23,02;;24,87;;:;
Lithuania;19,11;;20,50;;20,69;;21,53;;22,80;;23,40;;26,01;;28,58;;26,05;;17,83;;17,09;;18,80;;17,58;;18,67;;19,11;;19,60;;19,92;;20,14;;20,69;;21,20;;21,43;;22,49;;22,48;;23,68;;:;
Luxembourg;20,63;;21,88;;21,30;;21,05;;21,24;;19,35;;18,22;;18,92;;20,14;;18,02;;16,82;;19,21;;19,18;;18,45;;19,15;;17,31;;17,28;;17,81;;16,15;;18,05;;17,18;;18,15;;16,60;;16,09;;:;
Hungary;25,47;;24,83;;24,70;;23,65;;24,06;;23,86;;23,51;;23,70;;23,36;;22,68;;20,11;;19,57;;19,20;;20,86;;22,10;;22,29;;19,61;;22,32;;24,88;;27,12;;26,51;;27,26;;27,85;;25,59;;:;
Malta;23,72;;21,37;;17,45;;21,86;;21,14;;22,54;;20,44;;21,98;;20,22;;19,73;;20,82;;17,99;;19,78;;17,30;;16,84;;23,66;;21,32;;18,70;;19,11;;20,08;;21,02;;22,93;;24,24;;18,64;;:;
Netherlands;22,53;;22,09;;21,01;;20,52;;20,18;;20,31;;20,91;;23,10;;21,93;;21,08;;19,44;;19,93;;18,59;;18,20;;17,39;;21,81;;19,29;;19,76;;19,95;;20,91;;21,27;;20,69;;20,47;;20,35;;19,85;
Austria;25,71;;24,93;;23,62;;24,19;;23,77;;23,23;;22,83;;23,14;;23,53;;22,66;;21,86;;22,71;;22,95;;23,31;;22,97;;22,90;;23,32;;23,85;;24,31;;25,08;;25,13;;25,88;;25,47;;24,90;;:;
Poland;23,81;;20,57;;18,54;;18,25;;18,60;;19,12;;20,69;;22,69;;23,22;;21,64;;19,61;;20,40;;19,42;;18,80;;19,98;;20,24;;18,35;;17,47;;18,76;;19,15;;18,40;;16,93;;16,44;;17,74;;:;
Portugal;28,00;;27,38;;25,86;;23,76;;23,42;;23,13;;22,53;;22,51;;22,85;;21,20;;20,65;;18,48;;15,88;;14,83;;15,11;;15,65;;15,73;;17,09;;17,83;;18,43;;19,50;;20,50;;20,57;;20,07;;19,85;
Romania;19,12;;21,04;;21,46;;22,74;;22,30;;23,36;;26,62;;35,34;;37,29;;26,00;;25,67;;26,77;;27,01;;24,41;;24,61;;24,92;;23,04;;22,88;;21,06;;23,11;;23,33;;24,37;;25,04;;26,98;;25,66;
Slovenia;27,59;;26,62;;24,86;;25,26;;26,21;;26,78;;27,90;;28,76;;29,59;;24,42;;21,22;;20,08;;19,17;;19,83;;19,44;;18,92;;17,78;;18,49;;19,53;;19,76;;19,02;;20,27;;21,92;;21,34;;:;
Slovakia;26,91;;29,75;;28,46;;25,31;;24,72;;27,10;;26,38;;26,23;;25,63;;21,70;;21,85;;23,94;;21,05;;21,19;;21,18;;24,32;;21,66;;21,27;;21,34;;21,68;;19,78;;19,59;;20,92;;21,09;;20,34;
Finland;23,07;;22,88;;21,61;;21,79;;22,26;;22,92;;22,77;;24,20;;24,50;;22,96;;22,82;;22,91;;23,31;;22,33;;21,72;;21,42;;23,05;;23,69;;24,59;;24,42;;24,66;;24,42;;24,66;;23,34;;21,99;
Sweden;21,74;;22,18;;21,67;;21,10;;21,35;;21,51;;22,56;;23,51;;24,00;;22,07;;22,05;;22,41;;22,26;;21,97;;22,69;;23,24;;23,87;;24,58;;24,61;;23,84;;24,53;;25,12;;25,59;;25,41;;25,10;
Iceland;24,17;;22,99;;19,63;;21,32;;24,77;;29,52;;35,68;;29,35;;25,23;;14,99;;13,99;;15,37;;16,00;;15,70;;17,24;;18,97;;:;;:;;:;;:;;:;;:;;:;;:;;:;
Norway;19,80;;19,50;;19,39;;18,84;;19,59;;20,30;;20,87;;23,49;;22,49;;23,15;;20,64;;21,38;;22,31;;23,43;;23,71;;23,69;;25,06;;24,36;;23,77;;26,63;;27,44;;23,20;;19,67;;:;;:;
