Data extracted on 11/09/2025 12:32:27 from [ESTAT];;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Dataset: ;Young people neither in employment nor in education and training (NEET), by citizenship [sdg_08_20a];;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Last updated: ;14/04/2025 23:00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Time frequency;;Annual;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Sex;;Total;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Age class;;From 15 to 29 years;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Labour force and employment status;;Not employed persons;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Country of citizenship;;Reporting country;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Training;;Neither formal nor non-formal education or training;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Unit of measure;;Percentage;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
TIME;2004;;2005;;2006;;2007;;2008;;2009;;2010;;2011;;2012;;2013;;2014;;2015;;2016;;2017;;2018;;2019;;2020;;2021;;2022;;2023;;2024;
GEO (Labels);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
European Union - 27 countries (from 2020);14,4;;14,7;;13,5;b;12,5;;12,3;;14,0;;14,5;;14,6;;15,1;;15,2;;14,9;;14,4;;13,6;;12,8;;12,2;;11,7;;12,8;;12,2;b;10,9;;10,4;;10,2;
Euro area – 20 countries (from 2023);12,2;;13,5;;12,6;;12,0;;12,1;;13,8;;14,2;;14,2;;14,8;;14,9;;14,7;;14,2;;13,4;;12,8;;12,1;;11,6;;12,8;;11,9;b;10,6;;10,1;;9,9;
Belgium;15,0;b;12,7;;11,5;b;11,7;;10,6;;11,6;;11,6;;12,4;b;12,9;;13,1;;12,8;;13,1;;11,4;;11,4;b;10,7;;10,6;;10,5;;8,9;b;8,4;;8,7;;8,9;b
Bulgaria;28,7;;26,8;;23,9;b;20,3;;18,5;b;20,9;;23,5;b;24,8;b;24,7;;25,8;;24,0;;22,2;;22,4;;18,9;;18,2;;16,6;b;18,0;;17,4;b;14,8;;13,9;;12,7;
Czechia;17,7;;16,9;;13,7;b;11,6;;10,6;;12,6;;12,8;;12,1;b;12,8;;12,8;b;12,1;;11,7;;11,0;;10,0;;9,5;;9,7;;11,0;;10,9;b;11,5;b;10,0;;8,4;
Denmark;6,0;;5,6;;4,5;;4,9;b;5,5;b;7,1;;7,8;;8,1;;8,7;;7,9;;7,6;;8,1;;8,2;b;9,3;b;9,2;;9,3;;10,0;;8,3;b;7,8;;8,5;;7,9;
Germany;10,8;;12,0;b;11,0;b;10,0;;9,6;b;10,1;;9,6;b;8,7;b;8,2;;7,6;;7,4;;7,0;;6,7;;6,2;;5,9;;5,7;;6,8;b;7,1;b;6,6;;6,4;;6,2;b
Estonia;13,6;;11,5;;10,0;;10,4;;10,8;;17,1;b;16,2;;13,1;;13,8;;13,3;;13,2;;13,1;;13,2;;11,2;;12,3;;10,1;;11,3;;10,6;b;10,2;;9,3;;10,6;
Ireland;12,3;b;11,4;;10,7;b;10,7;b;15,3;;20,0;;21,5;;22,3;;21,7;;18,9;;18,0;;16,3;;14,3;;12,8;b;11,2;;11,2;;13,4;;9,4;b;8,3;;8,0;;7,3;b
Greece;19,3;b;18,1;;15,0;b;14,6;;13,9;b;14,7;b;17,5;;21,9;;25,4;;27,2;;25,7;;23,6;;21,6;;20,9;;18,9;;16,9;;18,1;;17,1;b;15,2;;15,7;;13,9;b
Spain;13,2;;12,8;b;11,4;b;10,9;;13,0;;17,3;;17,6;;18,3;;19,6;;20,1;;18,8;b;17,7;;16,1;;14,7;;13,5;;13,1;;15,2;;12,5;bd;11,0;d;10,5;d;10,2;d
France;12,3;;12,5;;12,5;;12,1;;11,9;;14,0;;14,0;;13,8;;14,1;;13,1;b;13,4;b;14,0;;13,5;;13,0;;12,8;;12,1;;13,3;;12,2;bd;11,4;d;11,7;d;11,7;d
Croatia;:;;:;;15,7;b;14,4;;12,9;;14,5;;17,3;;19,1;;19,8;b;22,0;;21,6;;19,9;;19,4;;17,9;;15,5;;14,4;;14,4;;14,9;b;13,0;;11,8;;10,6;
Italy;:;;19,4;;18,6;b;18,2;;18,4;;19,5;;20,8;;21,4;;22,7;;24,8;;25,2;;24,5;;23,2;;23,0;;22,1;b;21,1;;22,2;;21,9;b;18,0;;15,1;;14,3;
Cyprus;9,5;;17,6;;10,9;b;9,2;;10,0;;10,4;b;11,5;;13,6;;16,8;;19,9;;19,9;;18,0;;18,1;;17,7;;15,0;;13,1;;12,9;;13,5;b;12,0;;11,9;;11,0;
Latvia;15,7;;14,1;;13,7;b;13,8;;13,2;b;19,5;;19,9;;18,4;;16,8;;14,9;;14,7;;13,2;;13,3;;12,3;;11,3;;9,8;;11,2;;11,7;b;10,8;;9,8;;10,4;
