Data extracted on 11/09/2025 12:18:51 from [ESTAT];;;;;;;;;;;;;;;;;;;;;;
Dataset: ;Participation in early childhood education by sex (children aged 3 and over) [sdg_04_31];;;;;;;;;;;;;;;;;;;;;
Last updated: ;10/09/2025 11:00;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
Time frequency;;Annual;;;;;;;;;;;;;;;;;;;;
Sex;;Total;;;;;;;;;;;;;;;;;;;;
Unit of measure;;Percentage;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
TIME;2013;;2014;;2015;;2016;;2017;;2018;;2019;;2020;;2021;;2022;;2023;
GEO (Labels);;;;;;;;;;;;;;;;;;;;;;
European Union - 27 countries (from 2020);91,8;;91,2;;91,9;d;92,4;d;92,4;d;92,2;;92,9;;93,4;d;92,8;d;93,3;d;94,6;d
Belgium;98,3;;98,3;;98,2;d;98,2;d;98,6;bd;98,4;d;98,1;;98,3;;97,6;;98,4;;98,0;
Bulgaria;83,8;;85,5;;85,1;;85,1;;85,1;;86,2;;87,6;;88,3;;86,8;;87,8;;88,8;
Czechia;76,8;;80,5;;84,6;;86,6;;87,7;;86,7;;86,3;;85,8;;85,4;;85,3;;85,3;
Denmark;97,6;;97,5;;98,0;;97,6;;97,5;;99,5;;97,7;;97,6;;97,0;;97,1;;95,7;
Germany;95,8;;95,8;;96,0;;94,9;;94,6;;94,2;;94,0;;93,7;;93,1;;93,1;;95,3;
Estonia;89,6;;90,3;;90,6;;91,3;;91,5;;91,6;;91,5;;91,9;;91,5;;91,9;;91,2;
Ireland;82,4;;82,9;;78,7;;83,8;;:;d;100,0;;100,0;;100,0;;96,4;;93,2;;95,1;
Greece;85,3;d;71,0;;63,0;d;63,1;d;65,3;d;50,8;d;68,8;d;:;;:;;:;;:;
Spain;96,6;;96,7;d;96,8;;96,9;;97,1;;97,5;;97,3;;97,2;;96,0;;96,7;;97,7;
France;100,0;;99,3;b;100,0;;100,0;;100,0;;100,0;p;100,0;p;100,0;p;100,0;p;100,0;p;100,0;p
Croatia;67,6;;67,6;;70,1;;71,5;;79,2;;78,2;;81,6;;81,2;;80,7;;83,5;;85,7;
Italy;97,3;;95,1;;94,9;;94,9;;93,9;;93,6;;94,8;;94,6;;91,0;;92,7;;93,5;
Cyprus;69,4;;68,5;;81,3;;82,6;;86,5;;88,4;;90,1;;91,1;;85,8;;84,4;;86,7;
Latvia;91,3;;92,5;;93,0;;93,8;;94,5;;94,1;;94,1;;94,0;;94,5;;95,5;;95,6;
Lithuania;83,4;;85,9;;87,3;;88,1;;88,9;;88,9;;89,6;;90,9;;92,1;;96,7;;96,2;
Luxembourg;89,9;;88,3;;86,3;;85,3;;87,5;;87,2;;88,4;;89,5;;88,9;;90,5;;96,0;
Hungary;88,3;;89,7;;90,7;;92,1;;92,0;;92,2;;92,9;;92,8;;94,6;;92,6;;97,4;bd
Malta;99,4;;95,5;;96,9;;95,0;;93,2;;93,8;;91,9;;89,1;;91,2;;92,9;;93,2;
Netherlands;94,1;;92,0;;92,8;;93,9;;94,5;;89,4;;90,5;;91,7;;93,0;;92,0;;93,2;
Austria;86,5;;86,9;;88,1;;88,5;;89,3;;89,7;;89,9;;89,7;;89,0;;90,6;;91,2;
Poland;76,4;d;79,8;;84,3;;87,7;;86,0;;88,2;e;90,3;e;90,8;;90,4;;92,4;p;96,6;p
Portugal;88,7;;87,9;;88,7;d;88,5;d;91,9;;91,0;;92,2;d;92,9;d;90,5;d;96,3;dp;94,2;d
Romania;84,1;;84,2;e;84,6;;84,5;;84,0;;81,9;;78,6;;78,2;;75,6;;74,8;;75,7;
Slovenia;87,9;;87,2;;88,0;;88,6;;90,0;;91,1;;92,1;;92,6;;92,3;;92,7;;93,2;
Slovakia;72,3;;73,0;;72,2;;73,4;;74,9;;77,6;;77,8;;78,1;;77,4;;78,6;;80,8;
Finland;80,0;;79,7;;79,8;;83,9;;84,4;;86,4;;88,8;;90,9;;90,6;;89,0;;91,1;
Sweden;95,0;;95,2;;94,1;;94,7;;95,4;;95,1;;95,6;;95,9;;96,1;;96,1;;96,3;
Iceland;96,1;;96,6;;97,2;;97,0;;97,4;;97,1;;96,8;;96,4;;96,7;;96,3;;96,1;
Liechtenstein;:;;:;;:;;:;;51,5;;47,6;;51,8;;49,0;;48,0;;50,1;;:;
Norway;96,7;;96,6;;96,7;;96,7;;96,9;;97,0;;97,1;;97,0;;97,3;;97,4;;97,2;
Switzerland;46,7;;:;;49,1;;49,8;;49,5;;49,6;;49,4;;49,7;;49,8;;50,0;;50,5;
United Kingdom;96,3;;90,7;;100,0;;100,0;;100,0;;100,0;;100,0;;:;;:;;:;;:;
Montenegro;:;;:;;:;;57,7;;:;;:;;:;;:;;:;;:;;78,3;
North Macedonia;29,7;;30,4;;31,7;;39,2;;36,5;;39,8;;42,3;;30,0;;35,1;;42,4;;46,1;
Serbia;63,1;;63,3;;61,7;;62,3;;64,4;;66,2;;67,3;;69,1;;67,5;;69,2;;:;
Türkiye;:;;37,3;;38,0;;37,2;;39,7;;42,8;;43,2;;42,2;;31,7;;48,6;;54,9;
Euro area – 20 countries (from 2023);:;;:;;:;;:;;:;;:;;:;;:;;:;;:;;:;
;;;;;;;;;;;;;;;;;;;;;;
Special value;;;;;;;;;;;;;;;;;;;;;;
:;not available;;;;;;;;;;;;;;;;;;;;;
Observation flags:;;;;;;;;;;;;;;;;;;;;;;
bd;break in time series, definition differs (see metadata);;;;;;;;;;;;;;;;;;;;;
dp;definition differs (see metadata), provisional;;;;;;;;;;;;;;;;;;;;;
