Data extracted on 11/09/2025 12:36:41 from [ESTAT];;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Dataset: ;Persons outside the labour force due to caring responsibilities by sex [sdg_05_40];;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Last updated: ;12/06/2025 23:00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Time frequency;;Annual;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Reason;;Care of adults with disabilities or children;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Sex;;Total;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Age class;;From 20 to 64 years;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Unit of measure;;Percentage of total population;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
TIME;2006;;2007;;2008;;2009;;2010;;2011;;2012;;2013;;2014;;2015;;2016;;2017;;2018;;2019;;2020;;2021;;2022;;2023;;2024;
GEO (Labels);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
European Union - 27 countries (from 2020);0,7;;0,7;;0,7;;0,6;;0,6;;0,6;;0,6;;0,7;;0,7;;0,7;;0,7;;0,7;;0,7;;0,6;;0,7;;0,6;b;0,5;;0,5;;0,5;
Euro area – 20 countries (from 2023);0,7;;0,6;;0,6;;0,6;;0,6;;0,6;;0,6;;0,7;;0,6;;0,7;;0,6;;0,7;;0,6;;0,6;;0,7;;0,6;b;0,6;;0,6;;0,5;
Belgium;0,1;;0,1;;0,1;u;0,1;;0,1;;:;;0,1;;0,2;;0,2;;0,2;;0,2;;0,2;b;0,2;;0,2;;0,2;;0,2;b;0,2;;0,2;;0,2;
Bulgaria;0,3;;0,3;;0,2;bu;0,1;u;0,2;bu;0,1;bu;0,2;u;0,2;u;0,2;u;:;u;0,1;u;:;u;:;u;:;bu;:;u;0,3;bu;0,2;u;0,2;u;0,2;bu
Czechia;0,6;;0,6;;0,5;;0,5;;0,4;;0,5;b;0,4;;0,4;;0,4;;0,4;;0,4;;0,4;;0,3;;0,4;;0,5;;0,3;b;0,2;;0,2;;0,2;
Denmark;0,1;u;0,2;;0,2;b;0,1;;0,2;;0,2;;0,1;u;0,1;;0,2;;0,1;;0,2;b;0,2;b;0,2;;0,2;;0,2;;0,1;b;0,1;;0,1;bu;0,1;u
Germany;0,4;b;0,5;;0,5;;0,5;;0,5;b;0,6;b;0,7;b;0,6;;0,6;;0,6;;0,6;;0,6;;0,6;;0,6;;:;;0,7;b;0,8;;0,7;;0,7;
Estonia;1,1;;1,3;;1,0;;0,9;;0,9;;0,9;;1,0;;0,8;;0,8;;0,9;;1,0;;1,0;;1,0;;0,8;;1,0;;0,4;bu;0,5;;0,5;;0,4;
Ireland;0,6;;0,5;b;0,4;;0,4;;0,5;;0,5;;0,5;b;0,6;;0,5;;0,5;;0,4;;1,0;b;1,7;;1,5;;1,5;;1,3;b;1,0;;1,1;;1,0;
Greece;0,4;;0,4;;0,4;;0,4;b;0,4;;0,4;;0,5;;0,5;;0,5;;0,5;;0,5;;0,5;;0,5;;0,5;;0,5;;0,6;b;0,5;;0,4;;0,5;
